0:0:0:0:0:0:0:1 - - [20/Apr/2020:21:34:19 +0800] "GET /WebProject/css/zhuce.css HTTP/1.1" 200 2467
0:0:0:0:0:0:0:1 - - [20/Apr/2020:21:34:19 +0800] "GET /WebProject/js/jquery-1.11.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2020:21:34:19 +0800] "GET /WebProject/js/loginTest.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2020:21:34:19 +0800] "GET /WebProject/images/zhuce-image-1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2020:21:34:19 +0800] "GET /WebProject/images/user.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2020:21:34:19 +0800] "GET /WebProject/images/footerBg.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2020:21:34:19 +0800] "GET /WebProject/images/bk-zhuce-1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2020:21:37:16 +0800] "GET /WebProject/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2020:21:37:16 +0800] "GET /WebProject/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2020:21:37:47 +0800] "GET /WebProject/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2020:21:37:50 +0800] "GET /WebProject/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2020:21:37:53 +0800] "GET /WebProject/css/index.css HTTP/1.1" 200 2248
0:0:0:0:0:0:0:1 - - [20/Apr/2020:21:38:01 +0800] "GET /WebProject/index.html HTTP/1.1" 200 6995
0:0:0:0:0:0:0:1 - - [20/Apr/2020:21:38:01 +0800] "GET /WebProject/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2020:21:38:04 +0800] "GET /WebProject/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2020:21:38:05 +0800] "GET /WebProject/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2020:21:38:10 +0800] "GET /WebProject HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Apr/2020:21:38:10 +0800] "GET /WebProject/ HTTP/1.1" 200 6995
0:0:0:0:0:0:0:1 - - [20/Apr/2020:21:38:10 +0800] "GET /WebProject/css/index.css HTTP/1.1" 200 2248
0:0:0:0:0:0:0:1 - - [20/Apr/2020:21:40:46 +0800] "GET /WebProject/html/zhuce.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2020:21:40:46 +0800] "GET /WebProject/css/zhuce.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2020:21:40:46 +0800] "GET /WebProject/js/jquery-1.11.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2020:21:40:46 +0800] "GET /WebProject/js/loginTest.js HTTP/1.1" 200 521
0:0:0:0:0:0:0:1 - - [20/Apr/2020:21:40:46 +0800] "GET /WebProject/images/zhuce-image-1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2020:21:40:46 +0800] "GET /WebProject/images/user.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2020:21:40:46 +0800] "GET /WebProject/images/bk-zhuce-1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2020:21:40:46 +0800] "GET /WebProject/images/footerBg.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2020:21:43:47 +0800] "GET /WebProject/html/zhuce.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2020:21:43:47 +0800] "GET /WebProject/css/zhuce.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2020:21:43:47 +0800] "GET /WebProject/js/loginTest.js HTTP/1.1" 200 542
0:0:0:0:0:0:0:1 - - [20/Apr/2020:21:44:51 +0800] "GET /WebProject/html/zhuce.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2020:21:44:51 +0800] "GET /WebProject/css/zhuce.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2020:21:44:51 +0800] "GET /WebProject/js/jquery-1.11.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2020:21:44:51 +0800] "GET /WebProject/js/loginTest.js HTTP/1.1" 200 545
0:0:0:0:0:0:0:1 - - [20/Apr/2020:21:44:51 +0800] "GET /WebProject/images/zhuce-image-1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2020:21:44:51 +0800] "GET /WebProject/images/user.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2020:21:44:51 +0800] "GET /WebProject/images/bk-zhuce-1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2020:21:44:51 +0800] "GET /WebProject/images/footerBg.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2020:21:45:40 +0800] "GET /WebProject/html/zhuce.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2020:21:45:40 +0800] "GET /WebProject/css/zhuce.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2020:21:45:40 +0800] "GET /WebProject/js/jquery-1.11.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2020:21:45:40 +0800] "GET /WebProject/js/loginTest.js HTTP/1.1" 200 507
0:0:0:0:0:0:0:1 - - [20/Apr/2020:21:45:40 +0800] "GET /WebProject/images/zhuce-image-1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2020:21:45:40 +0800] "GET /WebProject/images/user.png HTTP/1.1" 304 -
